Blaze sword,2.734%
Gloom jewel,2.734%
Gorgan rock,2.734%
Ice hairband,2.734%
Ruse armor,2.734%
Sea ring,2.734%
Sizzle sword,2.734%
Snow sword,2.734%
Water gaunt,2.734%
Water jewel,2.734%
Agony helm,2.344%
Air whip,2.344%
Apron shield,2.344%
Aqua helm,2.344%
Black eye,2.344%
Bolt shield,2.344%
Boom turban,2.344%
Camu jewel,2.344%
Catfish jwl.,2.344%
Cryst shield,2.344%
Dark mirror,2.344%
Dia ring,2.344%
Dragon spear,2.344%
Earring,2.344%
Earth jewel,2.344%
Engage ring,2.344%
Flame shield,2.344%
Fry sword,2.344%
Gades blade,2.344%
Gold eye,2.344%
Hairpin,2.344%
Mega ax,2.344%
Mirak plate,2.344%
Silver eye,2.344%
Sky sword,2.344%
Spark staff,2.344%
Spido jewel,2.344%
Thundo jewel,2.344%
Tidal jewel,2.344%
Twist jewel,2.344%
Water spear,2.344%